Rank 168: no CSV to process (len(file_list_muons)=100), exiting.
Rank 431: no CSV to process (len(file_list_muons)=100), exiting.
Rank 437: no CSV to process (len(file_list_muons)=100), exiting.
Rank 244: no CSV to process (len(file_list_muons)=100), exiting.
Rank 418: no CSV to process (len(file_list_muons)=100), exiting.
Rank 484: no CSV to process (len(file_list_muons)=100), exiting.
Rank 476: no CSV to process (len(file_list_muons)=100), exiting.
Rank 465: no CSV to process (len(file_list_muons)=100), exiting.
Rank 433: no CSV to process (len(file_list_muons)=100), exiting.
Rank 436: no CSV to process (len(file_list_muons)=100), exiting.
Rank 460: no CSV to process (len(file_list_muons)=100), exiting.
Rank 304: no CSV to process (len(file_list_muons)=100), exiting.
Rank 466: no CSV to process (len(file_list_muons)=100), exiting.
Rank 589: no CSV to process (len(file_list_muons)=100), exiting.
Rank 393: no CSV to process (len(file_list_muons)=100), exiting.
Rank 404: no CSV to process (len(file_list_muons)=100), exiting.
Rank 591: no CSV to process (len(file_list_muons)=100), exiting.
Rank 341: no CSV to process (len(file_list_muons)=100), exiting.
Rank 373: no CSV to process (len(file_list_muons)=100), exiting.
Rank 391: no CSV to process (len(file_list_muons)=100), exiting.
Rank 311: no CSV to process (len(file_list_muons)=100), exiting.
Rank 324: no CSV to process (len(file_list_muons)=100), exiting.
Rank 313: no CSV to process (len(file_list_muons)=100), exiting.
Rank 342: no CSV to process (len(file_list_muons)=100), exiting.
Rank 359: no CSV to process (len(file_list_muons)=100), exiting.
Rank 307: no CSV to process (len(file_list_muons)=100), exiting.
Rank 371: no CSV to process (len(file_list_muons)=100), exiting.
Rank 328: no CSV to process (len(file_list_muons)=100), exiting.
Rank 506: no CSV to process (len(file_list_muons)=100), exiting.
Rank 383: no CSV to process (len(file_list_muons)=100), exiting.
Rank 381: no CSV to process (len(file_list_muons)=100), exiting.
Rank 394: no CSV to process (len(file_list_muons)=100), exiting.
Rank 331: no CSV to process (len(file_list_muons)=100), exiting.
Rank 267: no CSV to process (len(file_list_muons)=100), exiting.
Rank 246: no CSV to process (len(file_list_muons)=100), exiting.
Rank 279: no CSV to process (len(file_list_muons)=100), exiting.
Rank 274: no CSV to process (len(file_list_muons)=100), exiting.
Rank 300: no CSV to process (len(file_list_muons)=100), exiting.
Rank 262: no CSV to process (len(file_list_muons)=100), exiting.
Rank 263: no CSV to process (len(file_list_muons)=100), exiting.
Rank 290: no CSV to process (len(file_list_muons)=100), exiting.
Rank 241: no CSV to process (len(file_list_muons)=100), exiting.
Rank 243: no CSV to process (len(file_list_muons)=100), exiting.
Rank 269: no CSV to process (len(file_list_muons)=100), exiting.
Rank 510: no CSV to process (len(file_list_muons)=100), exiting.
Rank 556: no CSV to process (len(file_list_muons)=100), exiting.
Rank 211: no CSV to process (len(file_list_muons)=100), exiting.
Rank 298: no CSV to process (len(file_list_muons)=100), exiting.
Rank 289: no CSV to process (len(file_list_muons)=100), exiting.
Rank 312: no CSV to process (len(file_list_muons)=100), exiting.
Rank 339: no CSV to process (len(file_list_muons)=100), exiting.
Rank 350: no CSV to process (len(file_list_muons)=100), exiting.
Rank 204: no CSV to process (len(file_list_muons)=100), exiting.
Rank 520: no CSV to process (len(file_list_muons)=100), exiting.
Rank 544: no CSV to process (len(file_list_muons)=100), exiting.
Rank 557: no CSV to process (len(file_list_muons)=100), exiting.
Rank 527: no CSV to process (len(file_list_muons)=100), exiting.
Rank 217: no CSV to process (len(file_list_muons)=100), exiting.
Rank 242: no CSV to process (len(file_list_muons)=100), exiting.
Rank 284: no CSV to process (len(file_list_muons)=100), exiting.
Rank 549: no CSV to process (len(file_list_muons)=100), exiting.
Rank 321: no CSV to process (len(file_list_muons)=100), exiting.
Rank 325: no CSV to process (len(file_list_muons)=100), exiting.
Rank 301: no CSV to process (len(file_list_muons)=100), exiting.
Rank 333: no CSV to process (len(file_list_muons)=100), exiting.
Rank 565: no CSV to process (len(file_list_muons)=100), exiting.
Rank 308: no CSV to process (len(file_list_muons)=100), exiting.
Rank 287: no CSV to process (len(file_list_muons)=100), exiting.
Rank 296: no CSV to process (len(file_list_muons)=100), exiting.
Rank 261: no CSV to process (len(file_list_muons)=100), exiting.
Rank 297: no CSV to process (len(file_list_muons)=100), exiting.
Rank 305: no CSV to process (len(file_list_muons)=100), exiting.
Rank 377: no CSV to process (len(file_list_muons)=100), exiting.
Rank 256: no CSV to process (len(file_list_muons)=100), exiting.
Rank 230: no CSV to process (len(file_list_muons)=100), exiting.
Rank 218: no CSV to process (len(file_list_muons)=100), exiting.
Rank 323: no CSV to process (len(file_list_muons)=100), exiting.
Rank 585: no CSV to process (len(file_list_muons)=100), exiting.
Rank 362: no CSV to process (len(file_list_muons)=100), exiting.
Rank 366: no CSV to process (len(file_list_muons)=100), exiting.
Rank 358: no CSV to process (len(file_list_muons)=100), exiting.
Rank 337: no CSV to process (len(file_list_muons)=100), exiting.
Rank 245: no CSV to process (len(file_list_muons)=100), exiting.
Rank 202: no CSV to process (len(file_list_muons)=100), exiting.
Rank 278: no CSV to process (len(file_list_muons)=100), exiting.
Rank 264: no CSV to process (len(file_list_muons)=100), exiting.
Rank 512: no CSV to process (len(file_list_muons)=100), exiting.
Rank 595: no CSV to process (len(file_list_muons)=100), exiting.
Rank 569: no CSV to process (len(file_list_muons)=100), exiting.
Rank 525: no CSV to process (len(file_list_muons)=100), exiting.
Rank 567: no CSV to process (len(file_list_muons)=100), exiting.
Rank 592: no CSV to process (len(file_list_muons)=100), exiting.
Rank 562: no CSV to process (len(file_list_muons)=100), exiting.
Rank 575: no CSV to process (len(file_list_muons)=100), exiting.
Rank 582: no CSV to process (len(file_list_muons)=100), exiting.
Rank 535: no CSV to process (len(file_list_muons)=100), exiting.
Rank 513: no CSV to process (len(file_list_muons)=100), exiting.
Rank 517: no CSV to process (len(file_list_muons)=100), exiting.
Rank 573: no CSV to process (len(file_list_muons)=100), exiting.
Rank 515: no CSV to process (len(file_list_muons)=100), exiting.
Rank 540: no CSV to process (len(file_list_muons)=100), exiting.
Rank 507: no CSV to process (len(file_list_muons)=100), exiting.
Rank 547: no CSV to process (len(file_list_muons)=100), exiting.
Rank 539: no CSV to process (len(file_list_muons)=100), exiting.
Rank 511: no CSV to process (len(file_list_muons)=100), exiting.
Rank 543: no CSV to process (len(file_list_muons)=100), exiting.
Rank 599: no CSV to process (len(file_list_muons)=100), exiting.
Rank 500: no CSV to process (len(file_list_muons)=100), exiting.
Rank 581: no CSV to process (len(file_list_muons)=100), exiting.
Rank 568: no CSV to process (len(file_list_muons)=100), exiting.
Rank 552: no CSV to process (len(file_list_muons)=100), exiting.
Rank 522: no CSV to process (len(file_list_muons)=100), exiting.
Rank 588: no CSV to process (len(file_list_muons)=100), exiting.
Rank 590: no CSV to process (len(file_list_muons)=100), exiting.
Rank 505: no CSV to process (len(file_list_muons)=100), exiting.
Rank 597: no CSV to process (len(file_list_muons)=100), exiting.
Rank 546: no CSV to process (len(file_list_muons)=100), exiting.
Rank 583: no CSV to process (len(file_list_muons)=100), exiting.
Rank 584: no CSV to process (len(file_list_muons)=100), exiting.
Rank 533: no CSV to process (len(file_list_muons)=100), exiting.
Rank 514: no CSV to process (len(file_list_muons)=100), exiting.
Rank 574: no CSV to process (len(file_list_muons)=100), exiting.
Rank 545: no CSV to process (len(file_list_muons)=100), exiting.
Rank 578: no CSV to process (len(file_list_muons)=100), exiting.
Rank 504: no CSV to process (len(file_list_muons)=100), exiting.
Rank 528: no CSV to process (len(file_list_muons)=100), exiting.
Rank 503: no CSV to process (len(file_list_muons)=100), exiting.
Rank 542: no CSV to process (len(file_list_muons)=100), exiting.
Rank 531: no CSV to process (len(file_list_muons)=100), exiting.
Rank 579: no CSV to process (len(file_list_muons)=100), exiting.
Rank 561: no CSV to process (len(file_list_muons)=100), exiting.
Rank 596: no CSV to process (len(file_list_muons)=100), exiting.
Rank 593: no CSV to process (len(file_list_muons)=100), exiting.
Rank 534: no CSV to process (len(file_list_muons)=100), exiting.
Rank 548: no CSV to process (len(file_list_muons)=100), exiting.
Rank 560: no CSV to process (len(file_list_muons)=100), exiting.
[rank 11] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_16_13_42_CDT.FLOW.hdf5.csv
[rank 11] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_16_13_42_CDT.FLOW.hdf5
[rank 11] ERROR processing packet-0050017-2024_07_08_16_13_42_CDT.FLOW.hdf5.csv: Cannot convert masked element to a Python int.
[rank 67] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_01_44_44_CDT.FLOW.hdf5.csv
[rank 67] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_01_44_44_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_01_44_44_CDT.FLOW.hdf5.csv'.
[rank 7] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_14_53_33_CDT.FLOW.hdf5.csv
[rank 7] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_14_53_33_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_14_53_33_CDT.FLOW.hdf5.csv'.
[rank 10] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_16_03_41_CDT.FLOW.hdf5.csv
[rank 10] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_16_03_41_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_16_03_41_CDT.FLOW.hdf5.csv'.
[rank 90] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_05_45_09_CDT.FLOW.hdf5.csv
[rank 90] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_05_45_09_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_05_45_09_CDT.FLOW.hdf5.csv'.
[rank 20] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_17_43_52_CDT.FLOW.hdf5.csv
[rank 20] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_17_43_52_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_17_43_52_CDT.FLOW.hdf5.csv'.
[rank 45] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_22_04_20_CDT.FLOW.hdf5.csv
[rank 45] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_22_04_20_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_22_04_20_CDT.FLOW.hdf5.csv'.
[rank 31] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_19_34_04_CDT.FLOW.hdf5.csv
[rank 31] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_19_34_04_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_19_34_04_CDT.FLOW.hdf5.csv'.
[rank 36] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_20_24_09_CDT.FLOW.hdf5.csv
[rank 36] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_20_24_09_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_20_24_09_CDT.FLOW.hdf5.csv'.
[rank 82] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_04_14_59_CDT.FLOW.hdf5.csv
[rank 82] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_04_14_59_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_04_14_59_CDT.FLOW.hdf5.csv'.
[rank 63] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_01_04_39_CDT.FLOW.hdf5.csv
[rank 63] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_01_04_39_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_01_04_39_CDT.FLOW.hdf5.csv'.
[rank 95] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_06_35_14_CDT.FLOW.hdf5.csv
[rank 95] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_06_35_14_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_06_35_14_CDT.FLOW.hdf5.csv'.
[rank 15] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_16_53_46_CDT.FLOW.hdf5.csv
[rank 15] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_16_53_46_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_16_53_46_CDT.FLOW.hdf5.csv'.
[rank 89] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_05_35_08_CDT.FLOW.hdf5.csv
[rank 89] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_05_35_08_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_05_35_08_CDT.FLOW.hdf5.csv'.
[rank 88] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_05_25_07_CDT.FLOW.hdf5.csv
[rank 88] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_05_25_07_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_05_25_07_CDT.FLOW.hdf5.csv'.
[rank 19] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_17_33_51_CDT.FLOW.hdf5.csv
[rank 19] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_17_33_51_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_17_33_51_CDT.FLOW.hdf5.csv'.
[rank 4] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_14_23_30_CDT.FLOW.hdf5.csv
[rank 4] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_14_23_30_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_14_23_30_CDT.FLOW.hdf5.csv'.
[rank 37] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_20_34_10_CDT.FLOW.hdf5.csv
[rank 37] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_20_34_10_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_20_34_10_CDT.FLOW.hdf5.csv'.
[rank 51] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_23_04_26_CDT.FLOW.hdf5.csv
[rank 51] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_23_04_26_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_23_04_26_CDT.FLOW.hdf5.csv'.
[rank 81] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_04_04_58_CDT.FLOW.hdf5.csv
[rank 81] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_04_04_58_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_04_04_58_CDT.FLOW.hdf5.csv'.
[rank 46] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_22_14_21_CDT.FLOW.hdf5.csv
[rank 46] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_22_14_21_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_22_14_21_CDT.FLOW.hdf5.csv'.
[rank 80] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_03_54_57_CDT.FLOW.hdf5.csv
[rank 80] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_03_54_57_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_03_54_57_CDT.FLOW.hdf5.csv'.
[rank 53] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_23_24_28_CDT.FLOW.hdf5.csv
[rank 53] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_23_24_28_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_23_24_28_CDT.FLOW.hdf5.csv'.
[rank 71] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_02_24_48_CDT.FLOW.hdf5.csv
[rank 71] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_02_24_48_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_02_24_48_CDT.FLOW.hdf5.csv'.
[rank 99] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_07_15_19_CDT.FLOW.hdf5.csv
[rank 99] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_07_15_19_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_07_15_19_CDT.FLOW.hdf5.csv'.
[rank 87] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_05_15_06_CDT.FLOW.hdf5.csv
[rank 87] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_05_15_06_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_05_15_06_CDT.FLOW.hdf5.csv'.
[rank 54] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_23_34_29_CDT.FLOW.hdf5.csv
[rank 54] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_23_34_29_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_23_34_29_CDT.FLOW.hdf5.csv'.
[rank 69] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_02_04_46_CDT.FLOW.hdf5.csv
[rank 69] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_02_04_46_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_02_04_46_CDT.FLOW.hdf5.csv'.
[rank 84] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_04_35_02_CDT.FLOW.hdf5.csv
[rank 84] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_04_35_02_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_04_35_02_CDT.FLOW.hdf5.csv'.
[rank 96] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_06_45_15_CDT.FLOW.hdf5.csv
[rank 96] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_06_45_15_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_06_45_15_CDT.FLOW.hdf5.csv'.
[rank 79] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_03_44_56_CDT.FLOW.hdf5.csv
[rank 79] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_03_44_56_CDT.FLOW.hdf5
[rank 79] ERROR processing packet-0050017-2024_07_09_03_44_56_CDT.FLOW.hdf5.csv: Cannot convert masked element to a Python int.
[rank 47] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_22_24_22_CDT.FLOW.hdf5.csv
[rank 47] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_22_24_22_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_22_24_22_CDT.FLOW.hdf5.csv'.
[rank 5] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_14_33_31_CDT.FLOW.hdf5.csv
[rank 5] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_14_33_31_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_14_33_31_CDT.FLOW.hdf5.csv'.
[rank 91] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_05_55_10_CDT.FLOW.hdf5.csv
[rank 91] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_05_55_10_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_05_55_10_CDT.FLOW.hdf5.csv'.
[rank 49] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_22_44_24_CDT.FLOW.hdf5.csv
[rank 49] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_22_44_24_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_22_44_24_CDT.FLOW.hdf5.csv'.
[rank 8] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_15_43_39_CDT.FLOW.hdf5.csv
[rank 8] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_15_43_39_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_15_43_39_CDT.FLOW.hdf5.csv'.
[rank 17] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_17_13_49_CDT.FLOW.hdf5.csv
[rank 17] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_17_13_49_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_17_13_49_CDT.FLOW.hdf5.csv'.
[rank 32] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_19_44_05_CDT.FLOW.hdf5.csv
[rank 32] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_19_44_05_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_19_44_05_CDT.FLOW.hdf5.csv'.
[rank 58] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_00_14_34_CDT.FLOW.hdf5.csv
[rank 58] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_00_14_34_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_00_14_34_CDT.FLOW.hdf5.csv'.
